Date,Open,High,Low,Close,Adj Close,Volume
2022-03-09,38742.82,42465.67,38706.09,41982.93,41982.93,32284121034
2022-03-10,41974.07,42004.73,38832.94,39437.46,39437.46,31078064711
2022-03-11,39439.97,40081.68,38347.43,38794.97,38794.97,26364890465
2022-03-12,38794.46,39308.6,38772.54,38904.01,38904.01,14616450657
2022-03-13,38884.73,39209.35,37728.14,37849.66,37849.66,17300745310
2022-03-14,37846.32,39742.5,37680.73,39666.75,39666.75,24322159070
2022-03-15,39664.25,39794.63,38310.21,39338.79,39338.79,23934000868
2022-03-16,39335.57,41465.45,39022.35,41143.93,41143.93,39616916192
2022-03-17,41140.84,41287.54,40662.87,40951.38,40951.38,22009601093
2022-03-18,40944.84,42195.75,40302.4,41801.16,41801.16,34421564942
2022-03-19,41794.65,42316.55,41602.67,42190.65,42190.65,19664853187
2022-03-20,42191.41,42241.16,41004.76,41247.82,41247.82,20127946682
2022-03-21,41246.13,41454.41,40668.04,41078.0,41078.0,24615543271
2022-03-22,41074.11,43124.71,40948.28,42358.81,42358.81,32004652376
2022-03-23,42364.38,42893.51,41877.51,42892.96,42892.96,25242943069
2022-03-24,42886.65,44131.86,42726.16,43960.93,43960.93,31042992291
2022-03-25,43964.55,44999.49,43706.29,44348.73,44348.73,30574413034
2022-03-26,44349.86,44736.0,44166.27,44500.83,44500.83,16950455995
2022-03-27,44505.36,46827.55,44437.29,46820.49,46820.49,28160889722
2022-03-28,46821.85,48086.84,46690.2,47128.0,47128.0,36362175703
2022-03-29,47100.44,48022.29,47100.44,47465.73,47465.73,31397059069
2022-03-30,47456.9,47655.15,46746.21,47062.66,47062.66,29333883962
2022-03-31,47062.15,47512.03,45390.54,45538.68,45538.68,33327427106
2022-04-01,45554.16,46616.24,44403.14,46281.64,46281.64,38162644287
2022-04-02,46285.5,47028.28,45782.51,45868.95,45868.95,29336594194
2022-04-03,45859.13,47313.48,45634.11,46453.57,46453.57,25414397610
2022-04-04,46445.27,46791.09,45235.82,46622.68,46622.68,32499785455
2022-04-05,46624.51,47106.14,45544.81,45555.99,45555.99,29640604055
2022-04-06,45544.36,45544.36,43193.95,43206.74,43206.74,39393395788
2022-04-07,43207.5,43860.7,42899.91,43503.85,43503.85,26101973106
2022-04-08,43505.14,43903.02,42183.29,42287.66,42287.66,27215995394
2022-04-09,42282.08,42786.82,42183.25,42782.14,42782.14,16050772496
2022-04-10,42781.09,43376.38,42021.21,42207.67,42207.67,17654475582
2022-04-11,42201.04,42424.59,39373.06,39521.9,39521.9,33949912166
2022-04-12,39533.71,40617.59,39388.33,40127.18,40127.18,30991500854
2022-04-13,40123.57,41430.05,39712.75,41166.73,41166.73,27691105228
2022-04-14,41160.22,41451.48,39695.75,39935.52,39935.52,24342001973
2022-04-15,39939.4,40617.72,39866.83,40553.46,40553.46,21756855753
2022-04-16,40552.32,40633.68,40078.43,40424.48,40424.48,16833150693
2022-04-17,40417.78,40570.73,39620.89,39716.95,39716.95,19087633042
2022-04-18,39721.2,40986.32,38696.19,40826.21,40826.21,33705182072
