Date,BTC-USD,ETH-USD,LTC-USD,Profile ID,Return,Risk,Sharpe
6/9/2018,-0.01218898,-0.005856126,-0.019487009,158,0.426757721,0.83918875,0.426757721
6/10/2018,-0.099039031,-0.118950398,-0.090878206,159,0.442073439,0.849054034,0.442073439
6/11/2018,0.017816039,0.01291597,0.004484305,160,0.435749231,0.848756976,0.435749231
6/12/2018,-0.046990554,-0.068331833,-0.06296503,161,0.533734517,0.903132374,0.533734517
6/13/2018,-0.035315601,-0.03894614,-0.066203474,162,0.467634897,0.90263751,0.467634897
6/14/2018,0.051252776,0.088483528,0.07514881,163,0.41604279,0.849459586,0.41604279
6/15/2018,-0.032772813,-0.055296879,-0.044191794,164,0.472606356,0.834643531,0.472606356
6/16/2018,0.014493741,0.017596741,0.009309061,165,0.359763148,0.916353261,0.359763148
6/17/2018,-0.007769276,0.001621167,-0.015167042,166,0.400514277,0.913573582,0.400514277
6/18/2018,0.036242532,0.036846838,0.02830385,167,0.451342568,0.809646541,0.451342568
6/19/2018,0.00521469,0.036751527,0.000202388,168,0.433727025,0.838406948,0.433727025
6/20/2018,0.000976375,-0.003141498,-0.008599757,169,0.419620244,0.811196522,0.419620244
6/21/2018,-0.006907645,-0.016596118,-0.01081743,170,0.403240098,0.843975811,0.403240098
6/22/2018,-0.095999251,-0.116711227,-0.122253172,171,0.468553514,0.858575287,0.468553514
6/23/2018,0.012951022,0.018676742,-0.029149036,172,0.463235539,0.780442018,0.463235539
6/24/2018,0.001744428,-0.035509568,-0.022033898,173,0.393956606,0.910689733,0.393956606
6/25/2018,0.012303122,0.005768348,0.012998267,174,0.422806626,0.820328232,0.422806626
6/26/2018,-0.024884865,-0.059829246,-0.060613467,175,0.469689895,0.812511055,0.469689895
6/27/2018,0.010414085,0.022159577,0.04930402,176,0.39916356,0.809786894,0.39916356
6/28/2018,-0.041202638,-0.045212044,-0.071038929,177,0.420504734,0.84052128,0.420504734
6/29/2018,0.053335005,0.032318401,0.051247831,178,0.397914098,0.919225055,0.397914098
6/30/2018,0.029863468,0.043966881,0.03300749,179,0.521940125,0.82784549,0.521940125
7/1/2018,-0.002838851,-0.002768136,-0.013887182,180,0.475253163,0.910963282,0.475253163
7/2/2018,0.035760482,0.047210962,0.062562313,181,0.436227754,0.881203884,0.436227754
7/3/2018,-0.012789189,-0.023456401,-0.001876613,182,0.397344849,0.743619488,0.397344849
7/4/2018,0.010408004,0.006721241,0.004582844,183,0.400001361,0.923077947,0.400001361
7/5/2018,0.006303855,0.015171617,-0.020236285,184,0.405176487,0.893900922,0.405176487
7/6/2018,0.005175369,-0.000843153,-0.004536772,185,0.416113979,0.799962113,0.416113979
7/7/2018,0.027486327,0.037235501,0.03382106,186,0.438302315,0.811291903,0.438302315
7/8/2018,-0.012111834,-0.005166172,-0.044083527,187,0.490993276,0.837349879,0.490993276
7/9/2018,-0.00474322,-0.025433431,-0.01868932,188,0.467021258,0.782915605,0.467021258
7/10/2018,-0.061082063,-0.088654863,-0.059114519,189,0.468709357,0.873478365,0.468709357
7/11/2018,0.010230729,0.02785323,0.034437434,190,0.495326441,0.871497849,0.495326441
7/12/2018,-0.025943319,-0.036840455,-0.024015248,191,0.427042608,0.844336528,0.427042608
7/13/2018,0.001483429,0.009207803,0.001692488,192,0.377421282,0.812622712,0.377421282
7/14/2018,0.006102869,0.004746216,-0.002859371,193,0.347213948,0.891433916,0.347213948
7/15/2018,0.013307585,0.03155312,0.028936392,194,0.517481781,0.812979827,0.517481781
7/16/2018,0.06008359,0.068489496,0.071700025,195,0.447028502,0.833975642,0.447028502
7/17/2018,0.085925761,0.042316814,0.061583924,196,0.507781687,0.81442832,0.507781687
7/18/2018,0.006794117,-0.040898204,-0.03173366,197,0.497818303,0.801748688,0.497818303
7/19/2018,0.013035255,-0.02266342,-0.003334867,198,0.369238676,0.813512985,0.369238676
7/20/2018,-0.015097377,-0.040287892,-0.04522903,199,0.415316209,0.853454597,0.415316209
7/21/2018,0.008860327,0.026048369,0.020664653,200,0.459034992,0.910977471,0.459034992
7/22/2018,-0.000107827,-0.006011591,-0.015391901,201,0.476453731,0.790443381,0.476453731
7/23/2018,0.039444685,-0.01916634,-0.008778259,202,0.416115812,0.837924208,0.416115812
7/24/2018,0.09248474,0.06325829,0.083222128,203,0.409102816,0.853507213,0.409102816
7/25/2018,-0.028830985,-0.014352171,-0.033710382,204,0.347922765,0.852446646,0.347922765
7/26/2018,-0.028089359,-0.017883976,-0.026077886,205,0.438160276,0.926070306,0.438160276
7/27/2018,0.026841206,0.012132575,0.00511722,206,0.516206823,0.859584192,0.516206823
7/28/2018,0.00332394,-0.005897758,-0.009945536,207,0.363642384,0.837570199,0.363642384
7/29/2018,0.003211611,-0.000492611,0.005501076,208,0.473995531,0.829569358,0.473995531
7/30/2018,-0.004621304,-0.020549853,-0.014628925,209,0.381516388,0.839998381,0.381516388
7/31/2018,-0.048901776,-0.050778857,-0.038020519,210,0.368731925,0.828192428,0.368731925
8/1/2018,-0.019989872,-0.030239473,-0.023086575,211,0.448538257,0.812751683,0.448538257
8/2/2018,-0.007575171,-0.019322638,-0.022090932,212,0.383920665,0.864651707,0.383920665
8/3/2018,-0.017544254,0.013668751,0.018387182,213,0.32059483,0.947715759,0.32059483
8/4/2018,-0.054011156,-0.02632334,-0.055971112,214,0.417251728,0.830042379,0.417251728
8/5/2018,0.005066225,0.008029466,0.018989071,215,0.361894569,0.857692821,0.361894569
8/6/2018,-0.016507085,-0.009402709,-0.009384636,216,0.3976795,0.807453655,0.3976795
8/7/2018,-0.028579648,-0.06504205,-0.07741237,217,0.385674379,0.819663365,0.385674379
8/8/2018,-0.066239012,-0.062070961,-0.083321109,218,0.478360557,0.84556084,0.478360557
8/9/2018,0.041617241,0.025181571,0.023843815,219,0.493027779,0.814167714,0.493027779
8/10/2018,-0.05839016,-0.085915917,-0.071741169,220,0.356693109,0.820185383,0.356693109
